OBJECTID,NPU,STATISTICA,POP2010,NEIGHBORHO,URL,A,pop,white,black,asian,other,hispanic,GlobalID,last_edited_date
31,NPU X,X02,2416,Perkerson,http://documents.atlantaregional.com/AtlantaProfiles/X02.pdf,Perkerson,2416,8.7,76.9,0.7,1.2,12.5,{5CA72AFF-EB90-44C6-973A-011E512610E2},
32,NPU Y,Y02,2151,"Amal Heights, Betmar LaVilla, High Point, Joyland",http://documents.atlantaregional.com/AtlantaProfiles/Y02.pdf,"Amal Heights, Betmar LaVilla, High Point, Joyland",2151,1.9,90.7,0.7,1.7,5,{6562EA86-256E-4B99-85A8-06FB1518DF3F},
33,NPU L,L02,3330,English Avenue,http://documents.atlantaregional.com/AtlantaProfiles/L02.pdf,English Avenue,3330,8.7,83.5,1.6,3.2,2.9,{70229A89-CA18-4302-BB93-30FC782D8C91},
34,NPU D,D03,3089,"Berkeley Park, Blandtown, Hills Park",http://documents.atlantaregional.com/AtlantaProfiles/D03.pdf,"Berkeley Park, Blandtown, Hills Park",3089,58.7,23.9,7.3,3.7,6.3,{8D3A75AC-7AF3-4005-A578-BCB163F83386},
35,NPU D,D02,2287,Underwood Hills,http://documents.atlantaregional.com/AtlantaProfiles/D02.pdf,Underwood Hills,2287,72.3,13.7,5.5,2.4,6.2,{9596DB14-1F98-4C26-8AFB-DE09D74606CF},
36,NPU C,C06,3757,"Channing Valley, Memorial Park, Springlake, Wildwood (NPU-C)",http://documents.atlantaregional.com/AtlantaProfiles/C06.pdf,"Channing Valley, Memorial Park, Springlake, Wildwood (NPU-C)",3757,86.7,5.3,4,1.4,2.6,{FE8FDE9C-EF46-4AA4-9BB1-10127B823A44},
37,NPU A,A01,4061,"Margaret Mitchell, Paces, Pleasant Hill",http://documents.atlantaregional.com/AtlantaProfiles/A01.pdf,"Margaret Mitchell, Paces, Pleasant Hill",4061,85.9,5.7,4.4,1.3,2.7,{9FB549E2-4AD9-44E0-97C8-8E79EA1B9C9D},
38,NPU C,C01,2662,"Fernleaf, Hanover West, Ridgewood Heights, Wesley Battle, Westover Plantation",http://documents.atlantaregional.com/AtlantaProfiles/C01.pdf,"Fernleaf, Hanover West, Ridgewood Heights, Wesley Battle, Westover Plantation",2662,74.1,9.7,1.6,1.2,13.3,{AD681908-BDC2-4D02-B601-D6671BB397C2},
39,NPU C,C02,2910,Cross Creek,http://documents.atlantaregional.com/AtlantaProfiles/C02.pdf,Cross Creek,2910,55.1,21,7.2,2.6,14.1,{80C899DC-4E35-4A18-9CE9-24188919BA13},
40,NPU Z,Z04,3837,"Browns Mill Park, Polar Rock, Swallow Circle/Baywood",http://documents.atlantaregional.com/AtlantaProfiles/Z04.pdf,"Browns Mill Park, Polar Rock, Swallow Circle/Baywood",3837,3.9,89.8,0.1,1.7,4.5,{CA9138EE-F614-409B-B8B1-B9D0A2000AEC},
41,NPU Y,Y03,2808,"South Atlanta, The Villages at Carver",http://documents.atlantaregional.com/AtlantaProfiles/Y03.pdf,"South Atlanta, The Villages at Carver",2808,2.2,95,0.1,1.8,0.9,{AA12B75B-A07E-4E56-8B25-15F21AFB8E40},
42,NPU Y,Y04,2157,Lakewood Heights,http://documents.atlantaregional.com/AtlantaProfiles/Y04.pdf,Lakewood Heights,2157,10.5,85.3,0.3,1.9,2.1,{62C71FFF-0869-4175-B329-0EF796860E0A},
